VALUE,CLASSNAMES,R,G,B,RED,GREEN,BLUE
363,Herb Cover = 63%,255,124,43,1,0.48627451,0.168627451
364,Herb Cover = 64%,255,123,41,1,0.482352941,0.160784314
365,Herb Cover = 65%,255,119,41,1,0.466666667,0.160784314
366,Herb Cover = 66%,255,119,41,1,0.466666667,0.160784314
367,Herb Cover = 67%,255,118,38,1,0.462745098,0.149019608
368,Herb Cover = 68%,255,114,38,1,0.447058824,0.149019608
369,Herb Cover = 69%,255,112,36,1,0.439215686,0.141176471
370,Herb Cover = 70%,255,112,36,1,0.439215686,0.141176471
371,Herb Cover = 71%,255,107,33,1,0.419607843,0.129411765
372,Herb Cover = 72%,255,107,33,1,0.419607843,0.129411765
373,Herb Cover = 73%,255,105,31,1,0.411764706,0.121568627
374,Herb Cover = 74%,255,102,31,1,0.4,0.121568627
375,Herb Cover = 75%,255,100,28,1,0.392156863,0.109803922
376,Herb Cover = 76%,255,100,28,1,0.392156863,0.109803922
377,Herb Cover = 77%,255,100,28,1,0.392156863,0.109803922
378,Herb Cover = 78%,255,94,25,1,0.368627451,0.098039216
379,Herb Cover = 79%,255,94,25,1,0.368627451,0.098039216
380,Herb Cover = 80%,255,93,23,1,0.364705882,0.090196078
381,Herb Cover = 81%,255,89,23,1,0.349019608,0.090196078
382,Herb Cover = 82%,255,87,20,1,0.341176471,0.078431373
383,Herb Cover = 83%,255,87,20,1,0.341176471,0.078431373
384,Herb Cover = 84%,255,81,18,1,0.317647059,0.070588235
385,Herb Cover = 85%,255,81,18,1,0.317647059,0.070588235
386,Herb Cover = 86%,255,79,15,1,0.309803922,0.058823529
387,Herb Cover = 87%,255,75,15,1,0.294117647,0.058823529
388,Herb Cover = 88%,255,75,15,1,0.294117647,0.058823529
389,Herb Cover = 89%,255,73,13,1,0.28627451,0.050980392
390,Herb Cover = 90%,255,69,13,1,0.270588235,0.050980392
391,Herb Cover = 91%,255,67,10,1,0.262745098,0.039215686
392,Herb Cover = 92%,255,67,10,1,0.262745098,0.039215686
393,Herb Cover = 93%,255,61,8,1,0.239215686,0.031372549
394,Herb Cover = 94%,255,61,8,1,0.239215686,0.031372549
395,Herb Cover = 95%,255,59,5,1,0.231372549,0.019607843
396,Herb Cover = 96%,255,55,5,1,0.215686275,0.019607843
397,Herb Cover = 97%,255,53,3,1,0.207843137,0.011764706
398,Herb Cover = 98%,255,53,3,1,0.207843137,0.011764706
399,Herb Cover >= 99%,255,51,0,1,0.2,0
