"farm","inner.radius","outer.radius","coffee","developed","forest","past/grass","shrub","water"
"ADJU7",100,"200",0.156267747282982,0.162611648440361,0.172598525881767,0.0484026819467545,0,0.460119426250458
"ADJU8",100,"200",0.418300271034241,0.0361077189445496,0.506114721298218,0.0394772365689278,0,0
"ADJUCP",100,"200",0.0170255359262228,0.113891057670116,0.869083404541016,0,0,0
"JAYU2",100,"200",0.213581636548042,0.251367688179016,0.307546585798264,0.169276878237724,0.0582272075116634,0
"JAYU3",100,"200",0.268207490444183,0.302253276109695,0.229396909475327,0.175334692001343,0.0248076114803553,0
"JUAN1",100,"200",0.00405832100659609,0.0481791757047176,0.947762548923492,0,0,0
"JUAN7*",100,"200",0,0.248733192682266,0.749492943286896,0.00177388172596693,0,0
"LASM1*",100,"200",0.11081812530756,0.0507560111582279,0.776090562343597,0.0623352453112602,0,0
"LASM2",100,"200",0.0267686266452074,0.18942978978157,0.634767889976501,0.149033725261688,0,0
"LASM3",100,"200",0.0383760668337345,0.0814447999000549,0.698602080345154,0.162469729781151,0.0191073231399059,0
"MARI2*",100,"200",0.568703472614288,0,0.42186313867569,0.00943336822092533,0,0
"MARI3*",100,"200",0.609947443008423,0.0489577911794186,0.341094791889191,0,0,0
"MARI8*",100,"200",0.898946642875671,0.0883937552571297,0,0.0126595729961991,0,0
"OROC1",100,"200",0.0327943861484528,0.0973355397582054,0.710293412208557,0.156431421637535,0.00314521137624979,0
"PONC1*",100,"200",0.0631157830357552,0.0734286457300186,0.852010071277618,0.0114454748108983,0,0
"UTUA10",100,"200",0,0.0555615574121475,0.85168582201004,0.0927294045686722,2.32484908337938e-05,0
"UTUA13",100,"200",0.67231160402298,0.0500487089157104,0.268086045980453,0.00955366156995296,0,0
"UTUA16*",100,"200",0,0.19463138282299,0.644752502441406,0.137686878442764,0.0229291841387749,0
"UTUA17*",100,"200",0.158636078238487,0.323928654193878,0.4509297311306,0.0665055438876152,0,0
"UTUA18",100,"200",0,0.251435190439224,0.649450480937958,0.0991143435239792,0,0
"UTUA2",100,"200",0.0849428996443748,0.213819712400436,0.617125511169434,0.0523367039859295,0.0317751094698906,0
"UTUA20*",100,"200",0,0.0734979435801506,0.926502048969269,0,0,0
"UTUA30*",100,"200",0,0.0616480968892574,0.871476233005524,0.0668756291270256,0,0
"UTUA5",100,"200",0.0880570039153099,0.0367411859333515,0.652267098426819,0.20382733643055,0.0191073231399059,0
"YAUC3",100,"200",6.47769820716348e-06,0.0131179308518767,0.939156472682953,0.0427603460848331,0.00495875161141157,0
"YAUC4*",100,"200",0.0454903021454811,0.0636356845498085,0.890874028205872,0,0,0
"YAUC5*",100,"200",0,0.0774946212768555,0.894230902194977,0.0282744839787483,0,0
"ADJU7",200,"500",0.254672169685364,0.0704745054244995,0.186876013875008,0.0264400951564312,0.00272961752489209,0.458807587623596
"ADJU8",200,"500",0.352132081985474,0.0435390956699848,0.51399177312851,0.0821482464671135,0.00818885304033756,0
"ADJUCP",200,"500",0.0275935754179955,0.175682440400124,0.73625111579895,0.0563784465193748,0.00409442652016878,0
"JAYU2",200,"500",0.119213327765465,0.186978727579117,0.560500264167786,0.118424139916897,0.0148835768923163,0
"JAYU3",200,"500",0.306647032499313,0.276853859424591,0.277719736099243,0.126952141523361,0.0118272360414267,0
"JUAN1",200,"500",0.12061733007431,0.0306650027632713,0.826692759990692,0.0206601060926914,0.00136480876244605,0
"JUAN7*",200,"500",0.000250534270890057,0.111751146614552,0.85737931728363,0.030619028955698,0,0
"LASM1*",200,"500",0.0770438611507416,0.0833485871553421,0.806957840919495,0.0285553149878979,0.00409442652016878,0
"LASM2",200,"500",0.0445592328906059,0.0807370319962502,0.778930366039276,0.0957733690738678,0,0
"LASM3",200,"500",0.0494924783706665,0.0852341875433922,0.855029881000519,0.0102435061708093,0,0
"MARI2*",200,"500",0.371812254190445,0.0428552441298962,0.559446096420288,0.0217919833958149,0.00409442652016878,0
"MARI3*",200,"500",0.301981925964355,0.111689500510693,0.511843919754028,0.0690254271030426,0.00545923504978418,0
"MARI8*",200,"500",0.695637226104736,0.0947804600000381,0.150458335876465,0.0591240115463734,0,0
"OROC1",200,"500",0.0403511673212051,0.0610657632350922,0.720782220363617,0.168352782726288,0.00944807101041079,0
"PONC1*",200,"500",0.0162454210221767,0.0463380068540573,0.908174812793732,0.0292418394237757,0,0
"UTUA10",200,"500",0.0594199821352959,0.0462369844317436,0.822781503200531,0.0578018724918365,0.0137596372514963,0
"UTUA13",200,"500",0.279993534088135,0.0682919025421143,0.628918945789337,0.0173604842275381,0.00543514266610146,0
"UTUA16*",200,"500",0,0.137427821755409,0.819696307182312,0.0415110737085342,0.00136480876244605,0
"UTUA17*",200,"500",0.106528408825397,0.0803509131073952,0.738738000392914,0.0730179026722908,0.00136480876244605,0
"UTUA18",200,"500",0.0158112626522779,0.105669125914574,0.775619387626648,0.100170582532883,0.00272961752489209,0
"UTUA2",200,"500",0.0552154369652271,0.152414888143539,0.6986203789711,0.0914645791053772,0.00228474289178848,0
"UTUA20*",200,"500",0.0833426490426064,0.0276274606585503,0.831256866455078,0.051054060459137,0.00671901740133762,0
"UTUA30*",200,"500",0,0.0442701019346714,0.897311866283417,0.0502291731536388,0.00818885304033756,0
"UTUA5",200,"500",0.158206537365913,0.0323257856070995,0.754911601543427,0.0491176210343838,0.00543842371553183,0
"YAUC3",200,"500",0.182062178850174,0.0611819140613079,0.700571417808533,0.048704095184803,0.00748045975342393,0
"YAUC4*",200,"500",0.232889652252197,0.0231639910489321,0.741216778755188,0.00272961752489209,0,0
"YAUC5*",200,"500",0.038958914577961,0.0392674617469311,0.917623996734619,0.00414964044466615,0,0
"ADJU7",500,"1000",0.256456822156906,0.0696570724248886,0.465369135141373,0.0626774355769157,0.00955366156995296,0.136285826563835
"ADJU8",500,"1000",0.118791751563549,0.0404692068696022,0.796854436397552,0.0411402881145477,0.00274429656565189,0
"ADJUCP",500,"1000",0,0.179606348276138,0.750150084495544,0.0678416565060616,0.00240193167701364,0
