"farm","tree_100-200","tree_200-500","tree_500-1000","tree_1000-1500","shrbcov_100-200","shrbcov_200-500","shrbcov_500-1000","shrbcov_1000-1500","treeshrbcov_100-200","treeshrbcov_200-500","treeshrbcov_500-1000","treeshrbcov_1000-1500"
"UTUA2",42.1038246154785,60.9362182617188,74.3719100952148,67.5679779052734,1.55241513252258,0.467454850673676,0.12642976641655,0.255821287631989,43.6562423706055,61.4036712646484,74.4983367919922,67.8547897338867
"UTUA5",43.278636932373,60.5242042541504,62.8834342956543,69.9739456176758,1.58053553104401,2.78627824783325,1.71747362613678,0.984325885772705,44.8591690063477,63.4280319213867,64.6389007568359,70.9903717041016
"YAUC3",72.9066619873047,67.8545913696289,67.6532516479492,73.0868301391602,0.13414540886879,2.64273619651794,1.93946659564972,0.713287711143494,73.0408020019531,70.5766372680664,69.8560180664062,73.8168716430664
"JUAN1",87.2592163085938,81.8324508666992,78.3961334228516,77.8510971069336,0,0.909490644931793,0.212300688028336,0.297401309013367,87.2592163085938,82.741943359375,78.6084289550781,78.1484985351562
"LASM1*",70.3810729980469,67.7241287231445,79.634147644043,74.0603790283203,1.0115031003952,0.547288298606873,0.370618879795074,0.227815896272659,71.392578125,68.2714233398438,80.004768371582,74.30517578125
"YAUC4*",78.6342010498047,72.5249633789062,61.4201431274414,72.4096984863281,0.901387333869934,3.63277077674866,3.43620085716248,1.31013917922974,79.5355834960938,76.1577377319336,64.8563461303711,73.736442565918
"UTUA10",57.4950942993164,63.0095748901367,66.3435440063477,65.9289398193359,0.000976436596829444,0.977937757968903,0.8676917552948,1.15366554260254,57.4960708618164,64.0736236572266,67.2365951538086,67.1279907226562
"LASM2",50.7828674316406,69.7216491699219,80.4888687133789,79.9335327148438,0.436629980802536,0.536150813102722,0.0843384340405464,0.147375956177711,51.2194976806641,70.3530883789062,80.5732040405273,80.0809020996094
"LASM3",54.4926719665527,78.1040267944336,78.9408874511719,78.7242431640625,0.553099393844604,0.483505398035049,0.117824733257294,0.424387246370316,55.0457649230957,78.6942749023438,79.0587158203125,79.1666870117188
"JUAN7*",58.9429092407227,73.9860000610352,80.7350387573242,80.127815246582,0,0,0.111968912184238,0.175128400325775,58.9429092407227,73.9860000610352,80.8470077514648,80.3029479980469
"MARI8*",0.718921482563019,15.751612663269,33.4085655212402,50.3620986938477,25.3676700592041,17.4682998657227,8.62790584564209,5.24307918548584,26.0865898132324,33.2414398193359,42.1430778503418,55.659236907959
"PONC1*",71.5032806396484,77.2044906616211,73.3116149902344,79.5366287231445,0,0.0791589096188545,0.0550290867686272,0.210224837064743,71.5032806396484,77.2836456298828,73.3666458129883,79.7468566894531
"UTUA16*",44.2616081237793,63.9084548950195,70.9873504638672,70.3367767333984,0.657302618026733,0.0600515864789486,0.0634363070130348,0.253821671009064,44.9189109802246,63.9685096740723,71.0507888793945,70.5905990600586
"UTUA17*",33.7876625061035,62.0524711608887,70.9938735961914,72.1205902099609,4.5106725692749,1.50941288471222,0.425146222114563,0.136542126536369,38.2983360290527,63.5618858337402,71.4190139770508,72.2571258544922
"UTUA18",46.3935623168945,59.085090637207,58.740894317627,57.1947402954102,0,0.367631703615189,1.14849841594696,0.805516123771667,46.3935623168945,59.4527168273926,59.8893928527832,58.013370513916
"UTUA20*",73.1299667358398,73.4787216186523,67.9903717041016,59.2184867858887,0,0.844469249248505,0.340255528688431,1.39710879325867,73.1299667358398,74.3321838378906,68.3542938232422,60.6155967712402
"UTUA30*",67.6447372436523,69.3153457641602,64.7553405761719,62.1991424560547,0,0.256584048271179,0.634985029697418,1.57490968704224,67.6447372436523,69.5719299316406,65.3934326171875,63.8865547180176
"JAYU2",28.6564102172852,48.0966339111328,58.0349884033203,76.3917999267578,5.65676879882812,2.33601093292236,2.09080076217651,0.223440632224083,34.5895957946777,50.4983749389648,60.1257858276367,76.6327590942383
"JAYU3",19.0445785522461,26.9899845123291,61.1609687805176,69.3800430297852,5.76762866973877,5.13714122772217,1.33143019676208,0.308538436889648,24.8122062683105,32.1789932250977,62.5063056945801,69.688591003418
"UTUA13",39.1356582641602,62.7660598754883,67.3178558349609,73.4015426635742,10.3800382614136,4.67065477371216,1.83804297447205,1.41863906383514,49.8487892150879,67.7661972045898,69.1816329956055,74.8706970214844
"ADJU7",14.1003103256226,16.9597644805908,42.2241592407227,56.5140075683594,2.32537436485291,5.88719320297241,5.10597133636475,2.46743822097778,16.561695098877,23.1702213287354,47.8555793762207,59.0480155944824
"ADJU8",42.1119728088379,46.3192558288574,66.2298126220703,73.5716323852539,13.4647846221924,10.4654560089111,2.66179990768433,1.20113205909729,56.9199409484863,57.6847038269043,68.980842590332,74.8403015136719
"OROC1",57.9664573669434,55.8307647705078,66.7623138427734,55.3547782897949,0.207317158579826,0.772174656391144,1.05381262302399,1.60385775566101,58.1737747192383,56.6029434204102,67.8161239624023,57.0442390441895
"MARI2*",61.4285850524902,58.066047668457,73.1638793945312,71.0542144775391,4.46256589889526,5.59850740432739,1.45814990997314,3.06373023986816,65.8911514282227,63.66455078125,74.6499938964844,74.2648773193359
"MARI3*",36.9658470153809,48.3400344848633,71.0968246459961,70.6490325927734,14.31907081604,5.51317453384399,1.80757462978363,3.67114806175232,51.2849159240723,53.9192733764648,72.9308929443359,74.4761352539062
"ADJUCP",73.0023498535156,65.9266204833984,66.5254364013672,66.6232147216797,0.0940935835242271,0.345502763986588,0.0887065082788467,0.174995720386505,73.096435546875,66.2721252441406,66.6141510009766,66.8440704345703
