"farm","treecov_100","treecov_200","treecov_300","treecov_400","treecov_500","treecov_600","treecov_700","treecov_800","treecov_900","treecov_1000","treecov_1100","treecov_1200","treecov_1300","treecov_1400","treecov_1500","shrbcov_100","shrbcov_200","shrbcov_300","shrbcov_400","shrbcov_500","shrbcov_600","shrbcov_700","shrbcov_800","shrbcov_900","shrbcov_1000","shrbcov_1100","shrbcov_1200","shrbcov_1300","shrbcov_1400","shrbcov_1500","treeshrbcov_100","treeshrbcov_200","treeshrbcov_300","treeshrbcov_400","treeshrbcov_500","treeshrbcov_600","treeshrbcov_700","treeshrbcov_800","treeshrbcov_900","treeshrbcov_1000","treeshrbcov_1100","treeshrbcov_1200","treeshrbcov_1300","treeshrbcov_1400","treeshrbcov_1500"
"UTUA2",26.4002742767334,38.1779403686523,39.1686897277832,45.6559562683105,57.2948913574219,65.4393615722656,69.4046096801758,69.7166748046875,70.706672668457,70.102653503418,69.5872039794922,69.0705642700195,69.3559875488281,68.7719268798828,68.6944961547852,6.73533153533936,2.84814429283142,1.484001994133,1.31090986728668,0.848365128040314,0.617917418479919,0.539655387401581,0.47290626168251,0.373654305934906,0.306913614273071,0.261265009641647,0.225842639803886,0.192825675010681,0.205666914582253,0.278534770011902,33.1356086730957,41.0260848999023,40.6526908874512,46.9668655395508,58.1432571411133,66.0572738647461,69.9442596435547,70.189582824707,71.080322265625,70.4095687866211,69.8484725952148,69.2964019775391,69.5488128662109,68.993408203125,68.9905319213867
"UTUA5",24.0640678405762,38.4749946594238,47.5103950500488,55.3148231506348,56.9963302612305,57.9775924682617,56.298282623291,56.6813545227051,58.6564140319824,61.4116630554199,62.8201560974121,64.5583724975586,65.8620223999023,66.1429977416992,66.1684799194336,8.21816062927246,3.23994183540344,2.90801572799683,2.93910789489746,2.85898280143738,2.79895162582397,2.65618062019348,2.46435928344727,2.27855110168457,2.00263118743896,1.82074916362762,1.72904419898987,1.63098537921906,1.53745543956757,1.43680500984192,32.2822303771973,41.7149353027344,50.4184150695801,58.2539291381836,59.9482727050781,60.9153442382812,59.0534286499023,59.2219657897949,60.9972953796387,63.4671401977539,64.6858062744141,66.3388519287109,67.5377197265625,67.7207641601562,67.6474609375
"YAUC3",68.6477432250977,71.8419342041016,68.9770126342773,71.6038131713867,68.492561340332,67.2130737304688,65.9659194946289,67.4800109863281,67.5952987670898,67.8630828857422,68.3579940795898,68.7989883422852,68.8702087402344,69.6858901977539,70.7651596069336,0.601880669593811,0.251079231500626,1.06634056568146,1.67016577720642,2.25969529151917,2.21670341491699,2.52525663375854,2.26701664924622,2.22362303733826,2.01969814300537,1.78392648696899,1.62294566631317,1.46305513381958,1.3713960647583,1.29297006130219,69.2496185302734,72.0930099487305,70.0433578491211,73.2739791870117,70.8194961547852,69.5682678222656,68.723503112793,69.9288330078125,70.013671875,70.097412109375,70.3205032348633,70.5728912353516,70.4619827270508,71.1695556640625,72.1664657592773
"JUAN1",91.3908386230469,88.292121887207,87.5489654541016,82.559440612793,82.8659973144531,80.5463943481445,79.5947723388672,79.5329818725586,79.3323745727539,79.5136032104492,79.6686935424805,79.1599197387695,78.8989486694336,78.6849212646484,78.5899887084961,0,0,0.0111547904089093,0.861636877059937,0.763972103595734,0.630096256732941,0.564818143844604,0.47922471165657,0.418152064085007,0.350218534469604,0.31232675909996,0.330212414264679,0.36441907286644,0.354504257440567,0.320875644683838,91.3908386230469,88.292121887207,87.5601272583008,83.4210815429688,83.6299743652344,81.1764907836914,80.1595916748047,80.01220703125,79.7505187988281,79.8638229370117,79.9810180664062,79.4901275634766,79.2633590698242,79.0394287109375,78.9108581542969
"LASM1*",62.6773529052734,68.4551467895508,64.6576614379883,64.7255172729492,67.8410949707031,71.9368591308594,73.8134613037109,75.2859573364258,76.4213714599609,76.6858825683594,76.6388626098633,76.2306671142578,76.0484771728516,75.7238616943359,75.2272644042969,0.462130814790726,0.874160051345825,0.695634722709656,0.777764737606049,0.599587798118591,0.51518326997757,0.436285942792892,0.344650745391846,0.456896215677261,0.427861124277115,0.40634360909462,0.350966900587082,0.318089067935944,0.317789167165756,0.316736191511154,63.1394844055176,69.3293075561523,65.3532943725586,65.5032806396484,68.4406814575195,72.4520416259766,74.2497482299805,75.6306076049805,76.8782730102539,77.1137466430664,77.0452041625977,76.5816345214844,76.3708038330078,76.0527267456055,75.553581237793
"YAUC4*",80.2109756469727,79.0283966064453,76.7426528930664,75.5810317993164,73.5655136108398,70.0073471069336,65.6752700805664,63.2898483276367,63.4558563232422,64.4564819335938,66.0874481201172,66.8727722167969,67.7643585205078,68.436882019043,68.8749313354492,0,0.676040530204773,2.07841777801514,2.86572170257568,3.1596941947937,3.37848258018494,3.81472682952881,4.02572679519653,3.80739521980286,3.36707425117493,3.01285171508789,2.73801374435425,2.69732427597046,2.50747132301331,2.22444915771484,80.2109756469727,79.7044372558594,78.8210678100586,78.4467544555664,76.7252044677734,73.3858337402344,69.4899978637695,67.3155746459961,67.2632522583008,67.8235626220703,69.1003036499023,69.6107864379883,70.4616775512695,70.9443511962891,71.1081619262695
"UTUA10",43.0424194335938,53.8819274902344,56.5610771179199,61.9081802368164,61.5491485595703,63.257080078125,64.7772674560547,64.6947631835938,64.7421112060547,65.1449432373047,65.6629028320312,65.4055404663086,65.9191131591797,65.9889678955078,65.5804977416992,0,0.000732327462173998,0.362808585166931,0.525859653949738,0.821405410766602,0.934253692626953,0.932349860668182,0.844728946685791,0.807270228862762,0.856126844882965,0.920764803886414,0.914666414260864,0.952932119369507,0.993852436542511,1.02141773700714,43.0424194335938,53.8826637268066,56.923885345459,62.4340362548828,62.4411964416504,64.2417297363281,65.7532119750977,65.5974884033203,65.5952301025391,66.0384368896484,66.6147842407227,66.3462524414062,66.8944091796875,67.0214462280273,66.6437072753906
"LASM2",53.9471435546875,51.5739364624023,58.4671859741211,62.5992088317871,66.8180160522461,70.0374603271484,72.6436538696289,74.6878967285156,76.1269989013672,77.0711517333984,77.7233276367188,77.906135559082,78.2927551269531,78.6384048461914,78.6613616943359,1.75683534145355,0.76668131351471,0.590219974517822,0.516501188278198,0.573078036308289,0.537291944026947,0.397391796112061,0.322580546140671,0.254854470491409,0.206418246030807,0.170585110783577,0.161602362990379,0.140615299344063,0.132111951708794,0.173612788319588,55.7039794921875,52.3406181335449,59.0574035644531,63.2280464172363,67.4677810668945,70.6305541992188,73.0835647583008,75.0439376831055,76.408805847168,77.2996673583984,77.9123229980469,78.083251953125,78.4466552734375,78.7820129394531,78.8449935913086
"LASM3",26.2820892333984,47.4400253295898,64.0354309082031,70.8386993408203,73.1977920532227,74.8837661743164,74.3866195678711,74.5592193603516,76.1600570678711,77.5051116943359,78.9763488769531,79.9606475830078,80.1973495483398,79.4169464111328,78.1824111938477,0,0.414824575185776,0.526602685451508,0.41745913028717,0.472503811120987,0.447088539600372,0.355033248662949,0.322580546140671,0.254854470491409,0.206418246030807,0.173763945698738,0.19436340034008,0.218334555625916,0.241054952144623,0.327515214681625,26.2820892333984,47.854850769043,64.5620346069336,71.2703399658203,73.7543029785156,75.3905181884766,74.7851791381836,74.9152069091797,76.4418716430664,77.7337493896484,79.1688232421875,80.1709289550781,80.4292907714844,79.6696090698242,78.5298461914062
"JUAN7*",51.885440826416,57.1785469055176,56.5891075134277,64.7621231079102,71.2968063354492,73.9181518554688,75.2396545410156,76.7255859375,77.3221282958984,78.37548828125,79.098747253418,79.2564849853516,79.4434356689453,79.6192779541016,79.3489990234375,0,0,0,0,0,0,0,0.0095253512263298,0.0954788997769356,0.083976686000824,0.0777526944875717,0.0708563178777695,0.0644448176026344,0.0655623823404312,0.134616523981094,51.885440826416,57.1785469055176,56.5891075134277,64.7621231079102,71.2968063354492,73.9181518554688,75.2396545410156,76.735107421875,77.4176025390625,78.4594650268555,79.1764984130859,79.3273391723633,79.5078811645508,79.6848449707031,79.4836196899414
"MARI8*",0.773846566677094,0.73265278339386,4.61905574798584,10.3431491851807,13.3485794067383,18.7674026489258,21.4249362945557,23.9988670349121,26.2152614593506,28.3935680389404,30.6186122894287,33.7998962402344,36.1543617248535,38.607479095459,40.5983085632324,26.9807968139648,25.7709522247314,23.2111873626709,20.8614387512207,18.7982482910156,16.3595371246338,14.6723213195801,13.3950634002686,12.1440877914429,11.1743803024292,10.5626792907715,9.87179756164551,9.23370170593262,8.53070735931396,7.87686538696289,27.7546443939209,26.5036029815674,27.8450012207031,31.2231483459473,32.1621475219727,35.1467399597168,36.1475028991699,37.4369964599609,38.3965034484863,39.6440238952637,41.2612762451172,43.7513580322266,45.4741096496582,47.2173843383789,48.5477027893066
"PONC1*",68.5956115722656,70.7763671875,72.432373046875,76.2038803100586,76.1759872436523,76.032585144043,75.1128005981445,73.1901550292969,73.1424713134766,74.0277099609375,75.0127868652344,75.8612213134766,76.3439025878906,76.9037017822266,77.0882110595703,0,0,0.173124760389328,0.10389606654644,0.0664934813976288,0.0461760275065899,0.0339252464473248,0.0523958615958691,0.0483646504580975,0.0578951872885227,0.0604012459516525,0.0696402490139008,0.115427449345589,0.119222447276115,0.142522752285004,68.5956115722656,70.7763671875,72.6054992675781,76.3077697753906,76.2424774169922,76.0787658691406,75.146728515625,73.2425537109375,73.1908416748047,74.0856018066406,75.0731811523438,75.9308547973633,76.4593276977539,77.0229187011719,77.2307357788086
"UTUA16*",49.4163284301758,45.5502891540527,46.35595703125,57.4527816772461,60.9711456298828,62.1194038391113,62.7364692687988,63.9358062744141,66.6049118041992,68.4832992553711,69.5888290405273,70.5898208618164,69.938606262207,69.3108444213867,69.5130004882812,0.46427571773529,0.609045922756195,0.410807430744171,0.231079190969467,0.147890672087669,0.102701857686043,0.0754544287919998,0.0688050761818886,0.068989098072052,0.0845499038696289,0.126586630940437,0.21927398443222,0.210676625370979,0.198864474892616,0.178589776158333,49.8806037902832,46.1593360900879,46.7667617797852,57.6838607788086,61.1190376281738,62.2221031188965,62.8119201660156,64.0046081542969,66.6738967895508,68.5678482055664,69.7154159545898,70.8090972900391,70.149284362793,69.5097122192383,69.6915969848633
"UTUA17*",8.89659118652344,27.5648956298828,41.9325714111328,50.3267402648926,56.5344581604004,59.6945533752441,61.9077529907227,64.3567962646484,65.477897644043,67.379020690918,68.7353439331055,69.7214965820312,70.3144912719727,70.2632675170898,70.0132141113281,1.92669415473938,3.86467814445496,2.6997377872467,2.14607715606689,1.88625526428223,1.75562691688538,1.52657556533813,1.16927862167358,0.924177944660187,0.790423452854156,0.668440461158752,0.570578038692474,0.498776018619537,0.475807338953018,0.427156060934067,10.8232841491699,31.4295749664307,44.6323051452637,52.4728164672852,58.4207153320312,61.4501724243164,63.4343299865723,65.5260696411133,66.4020767211914,68.1694412231445,69.4037857055664,70.2920837402344,70.8132705688477,70.7390747070312,70.4403762817383
"UTUA18",49.6423759460449,47.2057685852051,53.1309127807617,56.230167388916,57.1843948364258,54.6690711975098,55.7112770080566,57.3863716125488,58.4107666015625,58.3517723083496,59.1212959289551,58.9234924316406,58.325984954834,58.2998657226562,57.7089729309082,0,0,0,0.127055138349533,0.308810621500015,0.585282266139984,0.575023829936981,0.566173911094666,0.690793991088867,0.938576459884644,0.907165944576263,0.834609150886536,0.783721148967743,0.841837167739868,0.864661574363708,49.6423759460449,47.2057685852051,53.1309127807617,56.3572235107422,57.4932060241699,55.2543563842773,56.2863006591797,57.9525451660156,59.1015586853027,59.2903518676758,60.0289764404297,59.7698287963867,59.1195983886719,59.1502304077148,58.5809860229492
"UTUA20*",71.316032409668,72.6764907836914,76.5554580688477,75.2070922851562,73.3503646850586,72.5959396362305,71.091796875,70.4009628295898,70.399543762207,69.3303756713867,68.1421813964844,66.3755493164062,65.5326385498047,64.356330871582,63.7126579284668,0,0,0,0.384695678949356,0.709340274333954,0.687614917755127,0.545802772045135,0.505857169628143,0.463751256465912,0.432543694972992,0.406797975301743,0.5712531208992,0.687630772590637,0.911866724491119,0.968481421470642,71.316032409668,72.6764907836914,76.5554580688477,75.5917816162109,74.0672454833984,73.3413925170898,71.6792068481445,70.938362121582,70.8882141113281,69.7827911376953,68.5651245117188,66.9600219726562,66.2313842773438,65.2776031494141,64.6892547607422
"UTUA30*",41.3096122741699,61.0609550476074,70.7178726196289,69.6470336914062,67.9946441650391,68.9294967651367,69.0842208862305,68.1696090698242,67.269660949707,65.5651702880859,64.6372680664062,64.7767105102539,64.6682586669922,64.1696014404297,63.6951522827148,0.659202635288239,0.16480065882206,0.181677222251892,0.283588856458664,0.241898700594902,0.319134384393692,0.316794037818909,0.339271932840347,0.462824612855911,0.53670996427536,0.661143362522125,0.805310368537903,0.864358603954315,1.02107059955597,1.11303353309631,41.9688148498535,61.2257537841797,70.899543762207,69.9306182861328,68.2365417480469,69.2486343383789,69.4010162353516,68.5088806152344,67.7324829101562,66.1042327880859,65.3290481567383,65.6207122802734,65.5655364990234,65.2188339233398,64.873161315918
"JAYU2",47.9338684082031,33.4757766723633,40.5461807250977,42.5902938842773,45.7572975158691,49.0270347595215,50.8202095031738,51.4853210449219,53.0962028503418,54.9655647277832,57.1933441162109,60.4463729858398,62.9895248413086,65.1205139160156,66.869026184082,3.96006941795349,5.22953319549561,3.29316186904907,3.06032705307007,2.79671359062195,2.86336183547974,2.80017757415771,2.59892201423645,2.55788087844849,2.26697516441345,1.93701326847076,1.66131722927094,1.43007600307465,1.25671565532684,1.13150453567505,51.8939399719238,38.9469032287598,43.9865264892578,45.8037528991699,48.6591644287109,51.9685859680176,53.6799087524414,54.1303977966309,55.6916847229004,57.2640686035156,59.1574630737305,62.1317596435547,64.4409790039062,66.3962860107422,68.0261001586914
"JAYU3",3.29999494552612,15.1084327697754,19.9484825134277,20.2556686401367,25.0889358520508,29.3730640411377,35.2261962890625,40.5058288574219,46.4686813354492,52.1429634094238,56.1892738342285,58.5965385437012,60.2044868469238,60.6870231628418,61.7191200256348,14.6142435073853,7.97928285598755,6.42682266235352,6.18270397186279,5.59261798858643,4.92353057861328,4.31651163101196,3.56416392326355,2.88253736495972,2.39562082290649,2.02381443977356,1.72990131378174,1.47821831703186,1.30440855026245,1.23583507537842,17.9142379760742,23.0877151489258,26.439037322998,26.4747219085693,30.7220420837402,34.3434410095215,39.5839653015137,44.1063079833984,49.3841247558594,54.568489074707,58.2397232055664,60.3497772216797,61.7031364440918,62.0091819763184,62.9706840515137
