"site_name","for_100","for_200","for_300","for_400","for_500","for_600","for_700","for_800","for_900","for_1000","for_1100","for_1200","for_1300","for_1400","for_1500","agr_100","agr_200","agr_300","agr_400","agr_500","agr_600","agr_700","agr_800","agr_900","agr_1000","agr_1100","agr_1200","agr_1300","agr_1400","agr_1500","pas_100","pas_200","pas_300","pas_400","pas_500","pas_600","pas_700","pas_800","pas_900","pas_1000","pas_1100","pas_1200","pas_1300","pas_1400","pas_1500","dev_100","dev_200","dev_300","dev_400","dev_500","dev_600","dev_700","dev_800","dev_900","dev_1000","dev_1100","dev_1200","dev_1300","dev_1400","dev_1500"
"MARI3*",0.127659574,0.295180723,0.324858757,0.389718076,0.482277121,0.556057186,0.60952381,0.646704007,0.68647541,0.696741855,0.696857671,0.70151574,0.706928061,0.714059804,0.720010018,0.872340426,0.644578313,0.550847458,0.43946932,0.355531686,0.299473288,0.254341737,0.227488152,0.198428962,0.187969925,0.193853974,0.198406529,0.198205682,0.188757907,0.181442524,0,0,0.036723164,0.067993367,0.063372718,0.060195636,0.053781513,0.047824214,0.042691257,0.045948204,0.046441774,0.043528955,0.041202858,0.039534215,0.037064864,0,0.060240964,0.087570621,0.102819237,0.098818475,0.08427389,0.082352941,0.077983628,0.072404372,0.069340017,0.06284658,0.055382822,0.049509885,0.048447384,0.044703231
"MARI8*",0,0,0.048295455,0.09375,0.124197002,0.185045317,0.248044693,0.29672696,0.334589041,0.361258002,0.396726602,0.43385214,0.455180442,0.478117377,0.500501379,0.979591837,0.921212121,0.829545455,0.792763158,0.729122056,0.66918429,0.601675978,0.55081826,0.499657534,0.458391316,0.424850161,0.398249027,0.380675204,0.362892811,0.342441715,0,0.012121212,0.022727273,0.021381579,0.053533191,0.061933535,0.062011173,0.053832903,0.06609589,0.076537712,0.0802213,0.075680934,0.074837851,0.074042187,0.074078716,0.020408163,0.066666667,0.099431818,0.092105263,0.093147752,0.083836858,0.088268156,0.098621878,0.099657534,0.103256332,0.097740894,0.091828794,0.08897389,0.08466064,0.082727501
"OROC1",0.875,0.746987952,0.721126761,0.706270627,0.726100967,0.753197893,0.784753363,0.805687204,0.802802461,0.795214246,0.790896488,0.785034014,0.769230769,0.758913168,0.749530369,0,0.030120482,0.030985915,0.03630363,0.034371643,0.027088036,0.025784753,0.025420078,0.02836637,0.043962159,0.053142329,0.051506317,0.047017777,0.047441058,0.050594865,0.0625,0.126506024,0.152112676,0.176567657,0.176154672,0.163280662,0.136210762,0.116329168,0.108680793,0.100445186,0.097735675,0.105733722,0.123774713,0.133410006,0.139386349,0.0625,0.096385542,0.095774648,0.080858086,0.063372718,0.056433409,0.053251121,0.05256355,0.060150376,0.060378408,0.058225508,0.057725948,0.05997674,0.060235768,0.060488416
"PONC1*",0.755102041,0.835365854,0.838526912,0.891447368,0.892588614,0.898867925,0.896263246,0.883038412,0.883521754,0.888146912,0.896328792,0.899610895,0.901345291,0.900488225,0.892857143,0.183673469,0.091463415,0.07082153,0.046052632,0.030075188,0.021132075,0.015616286,0.012084592,0.010962658,0.011686144,0.010621104,0.011284047,0.013120744,0.013210798,0.013283208,0,0.012195122,0.033994334,0.023026316,0.02792696,0.024150943,0.029001673,0.035390591,0.034600891,0.034780189,0.032094205,0.030933852,0.031057964,0.031878231,0.034210526,0.06122449,0.06097561,0.056657224,0.039473684,0.049409237,0.055849057,0.059118795,0.069486405,0.070914697,0.065386756,0.060955899,0.058171206,0.053147318,0.050258472,0.04962406
"UTUA10",0.739130435,0.844311377,0.863636364,0.863560732,0.828141783,0.838855422,0.829870859,0.823858742,0.829409758,0.831986626,0.834218425,0.83317149,0.830978893,0.831560793,0.824774549,0,0,0,0.006655574,0.051557465,0.060993976,0.057271196,0.053832903,0.053906517,0.056004458,0.061186793,0.062730627,0.065314941,0.063236562,0.064754509,0.086956522,0.065868263,0.068181818,0.074875208,0.071965628,0.059487952,0.065131948,0.072782084,0.06345957,0.060462524,0.053798199,0.049135755,0.045205252,0.045702788,0.047845691,0.173913043,0.089820359,0.068181818,0.054908486,0.048335124,0.040662651,0.047725997,0.04952627,0.053224156,0.051546392,0.050796583,0.054962129,0.058500914,0.059499856,0.062625251
"UTUA13",0.02,0.215568862,0.350574713,0.494252874,0.568983957,0.621028744,0.655326269,0.684595525,0.707576277,0.733370443,0.753228782,0.75997664,0.76139009,0.763482501,0.776607747,0.98,0.736526946,0.57183908,0.426929392,0.344385027,0.28290469,0.232013385,0.198364888,0.175179979,0.161146674,0.148523985,0.146194277,0.142833389,0.13582903,0.126237934,0,0.005988024,0.005747126,0.004926108,0.014973262,0.018154312,0.034578918,0.04475043,0.047308879,0.040634567,0.038976015,0.03893323,0.038576654,0.041164659,0.038861727,0,0.041916168,0.07183908,0.073891626,0.064171123,0.068835098,0.070273285,0.065834768,0.064792595,0.060673532,0.055811808,0.051975861,0.054705687,0.057228916,0.056161464
"UTUA16*",0.78,0.652439024,0.716713881,0.773026316,0.803648069,0.818731118,0.82122905,0.834482759,0.85,0.857779015,0.860636825,0.854280156,0.842831035,0.840964547,0.832894572,0,0,0,0,0,0,0,0,0,0,0.005306876,0.013035019,0.01495265,0.013061576,0.01228532,0.12,0.170731707,0.09631728,0.074013158,0.057939914,0.058912387,0.074860335,0.070689655,0.060273973,0.055107153,0.049607753,0.04922179,0.054992524,0.056121717,0.052400652,0.1,0.176829268,0.186968839,0.152960526,0.138412017,0.122356495,0.103910615,0.094827586,0.089726027,0.087113832,0.084448546,0.083463035,0.087223791,0.089278025,0.090760938
"UTUA17*",0.254901961,0.373493976,0.505681818,0.624382208,0.687096774,0.722264151,0.752796421,0.786574871,0.80971937,0.833426184,0.84468036,0.849163098,0.85056516,0.847876005,0.84005511,0.078431373,0.174698795,0.170454545,0.120263591,0.105376344,0.094339623,0.079977629,0.061531842,0.051676934,0.042061281,0.034848835,0.031140522,0.028922872,0.030137773,0.033191383,0.254901961,0.138554217,0.099431818,0.100494234,0.082795699,0.076981132,0.072147651,0.063253012,0.058863792,0.05264624,0.054004154,0.053133515,0.053856383,0.054965557,0.057990982,0.411764706,0.313253012,0.224431818,0.154859967,0.124731183,0.106415094,0.0950783,0.088640275,0.079739904,0.071866295,0.066235864,0.065395095,0.065492021,0.06587256,0.067009018
"UTUA18",0.693877551,0.682926829,0.753581662,0.759803922,0.754574812,0.724659607,0.725195095,0.736477715,0.740068493,0.733259239,0.730067021,0.72927209,0.731618257,0.728199971,0.718495298,0,0,0,0.006535948,0.012917115,0.025718608,0.025641026,0.024231934,0.037328767,0.044178939,0.042523688,0.037952511,0.036514523,0.041660681,0.047523511,0.142857143,0.12195122,0.085959885,0.089869281,0.110871905,0.124054463,0.113712375,0.109476417,0.096917808,0.095304251,0.093136122,0.093810821,0.093112033,0.095244936,0.095799373,0.163265306,0.195121951,0.160458453,0.14379085,0.121636168,0.125567322,0.135451505,0.129813933,0.125684932,0.127257572,0.134273168,0.138964578,0.138755187,0.134894412,0.138181818
"UTUA2",0.32,0.535714286,0.544668588,0.559210526,0.582441113,0.629825889,0.630786392,0.623762376,0.618231666,0.587416481,0.56922012,0.566783489,0.567913549,0.56017788,0.553020807,0.4,0.154761905,0.086455331,0.083881579,0.077087794,0.063588191,0.058561071,0.047783039,0.040438657,0.03285078,0.028610983,0.025116822,0.021945137,0.022952231,0.029205315,0.14,0.119047619,0.13832853,0.121710526,0.086723769,0.062831188,0.060791969,0.054670684,0.050719671,0.052616927,0.053530226,0.05334891,0.054031588,0.055228805,0.055778391,0.14,0.19047619,0.23054755,0.192434211,0.149892934,0.112036336,0.087562744,0.089108911,0.091158328,0.103563474,0.102907245,0.104556075,0.104571904,0.105723713,0.103033342
"UTUA20*",0.88,0.93902439,0.948275862,0.882160393,0.834051724,0.811363636,0.802558398,0.801642178,0.797806717,0.794444444,0.781091077,0.764889062,0.754068416,0.738618412,0.732447342,0,0,0.002873563,0.044189853,0.078663793,0.072727273,0.055617353,0.050561798,0.049348869,0.042222222,0.041146556,0.049435578,0.059448688,0.072382594,0.075977934,0,0.006097561,0.020114943,0.036006547,0.054956897,0.089393939,0.105116796,0.108470182,0.105894448,0.111388889,0.11950994,0.121837291,0.120557954,0.119488726,0.119107322,0.12,0.054878049,0.028735632,0.037643208,0.032327586,0.026515152,0.036707453,0.039325843,0.046949966,0.048333333,0.05455386,0.060140132,0.062603786,0.066637943,0.06995988
"UTUA30*",0.72,0.844311377,0.905714286,0.887438825,0.891630901,0.899394856,0.892857143,0.887645286,0.871873929,0.854717506,0.840479484,0.831679315,0.827488782,0.819121447,0.810682046,0,0,0,0,0,0.006807867,0.015625,0.020232458,0.028776978,0.034233231,0.048870447,0.05526367,0.059664285,0.063020385,0.067326981,0.12,0.077844311,0.042857143,0.066884176,0.061158798,0.055975794,0.056919643,0.054240207,0.054128126,0.057333704,0.054633472,0.058571707,0.057005152,0.057852426,0.056419258,0.16,0.077844311,0.051428571,0.045676998,0.0472103,0.037821483,0.034598214,0.037882049,0.045220966,0.053715558,0.056016598,0.054485308,0.055841782,0.060005742,0.065571715
"UTUA5",0.52,0.596385542,0.694050992,0.729508197,0.72639485,0.732628399,0.719151312,0.738793103,0.764464225,0.784641068,0.788634789,0.79711838,0.805781691,0.802754268,0.810448509,0.26,0.156626506,0.152974504,0.162295082,0.155579399,0.156344411,0.138470128,0.131034483,0.121191373,0.107679466,0.106029106,0.105334891,0.100348895,0.096686272,0.088824856,0.22,0.210843373,0.11898017,0.083606557,0.075107296,0.060422961,0.07426019,0.065086207,0.05751455,0.053978854,0.053592054,0.050817757,0.049676026,0.05178597,0.052868955,0,0.036144578,0.033994334,0.024590164,0.042918455,0.05060423,0.06811837,0.065086207,0.056829853,0.053700612,0.051744052,0.046728972,0.044193388,0.04877349,0.04785768
"YAUC3",0.959183673,0.909638554,0.817142857,0.774140753,0.738478028,0.721299094,0.71133445,0.731581215,0.745286253,0.754312743,0.765736684,0.770249221,0.768450798,0.772531573,0.778961886,0.040816327,0.012048193,0.045714286,0.116202946,0.152197213,0.182024169,0.194304858,0.182249031,0.169009256,0.157206455,0.142494812,0.128894081,0.11818484,0.111079219,0.102557673,0,0.054216867,0.065714286,0.042553191,0.052518757,0.042296073,0.036850921,0.035760448,0.034281796,0.03116305,0.029974637,0.03173676,0.033909574,0.031285878,0.028711133,0,0.024096386,0.071428571,0.06710311,0.056806002,0.054380665,0.057509771,0.050409306,0.050394241,0.056204786,0.058104681,0.061137072,0.065325798,0.067307692,0.066825476
"YAUC5*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAUC4*",1,0.904191617,0.835227273,0.789036545,0.768240343,0.725357412,0.71364402,0.69555843,0.70228747,0.724157147,0.739602588,0.750145829,0.75855766,0.768998707,0.777819502,0,0.053892216,0.125,0.179401993,0.203862661,0.217456734,0.209432903,0.214747736,0.199385456,0.176929507,0.158502773,0.144079331,0.140245929,0.132739549,0.120791088,0,0,0.002840909,0.00166113,0.002145923,0.004514673,0.003368894,0.007330746,0.010242404,0.011981053,0.016404806,0.018471709,0.019441675,0.020686683,0.023907873,0,0.041916168,0.036931818,0.029900332,0.025751073,0.052671181,0.073554183,0.082363088,0.088084671,0.086932293,0.085489834,0.08730313,0.081754736,0.077575061,0.077481537
